id_no,date,stock_name,price
1,11-02-2020,AAPL,320
2,12-02-2020,AAPL,321
3,13-02-2020,AAPL,322
4,14-02-2020,AAPL,323
5,15-02-2020,AAPL,324
6,16-02-2020,AAPL,325
7,17-02-2020,AAPL,326
8,18-02-2020,AAPL,327
9,19-02-2020,AAPL,328
10,20-02-2020,AAPL,329
11,21-02-2020,AAPL,330
12,22-02-2020,AAPL,331
13,23-02-2020,AAPL,332
14,24-02-2020,AAPL,333
15,25-02-2020,AAPL,334
16,26-02-2020,AAPL,335
17,27-02-2020,AAPL,336
18,28-02-2020,AAPL,337
19,29-02-2020,AAPL,338
20,01-03-2020,AAPL,339
21,02-03-2020,AAPL,340
22,03-03-2020,AAPL,341
23,04-03-2020,AAPL,342
24,05-03-2020,AAPL,343
25,06-03-2020,AAPL,344
26,07-03-2020,AAPL,345
27,08-03-2020,AAPL,346
28,09-03-2020,AAPL,347
29,10-03-2020,AAPL,348
30,11-03-2020,AAPL,349
31,12-03-2020,AAPL,350
32,13-03-2020,AAPL,351
33,14-03-2020,AAPL,352
34,15-03-2020,AAPL,353
35,16-03-2020,AAPL,354
36,17-03-2020,AAPL,355
37,18-03-2020,AAPL,356
38,19-03-2020,AAPL,357
39,20-03-2020,AAPL,358
40,21-03-2020,AAPL,359
41,22-03-2020,AAPL,360
42,23-03-2020,AAPL,361
43,24-03-2020,AAPL,362
44,25-03-2020,AAPL,363
45,26-03-2020,AAPL,364
46,27-03-2020,AAPL,365
47,28-03-2020,AAPL,366
48,29-03-2020,AAPL,367
49,30-03-2020,AAPL,368
50,31-03-2020,AAPL,369
51,01-04-2020,AAPL,370
52,02-04-2020,AAPL,371
53,03-04-2020,AAPL,372
54,04-04-2020,AAPL,373
55,05-04-2020,AAPL,374
56,06-04-2020,AAPL,375
57,07-04-2020,AAPL,376
58,08-04-2020,AAPL,377
59,09-04-2020,AAPL,378
60,10-04-2020,AAPL,379
61,11-04-2020,AAPL,380
62,12-04-2020,AAPL,381
63,13-04-2020,AAPL,382
64,14-04-2020,AAPL,383
65,15-04-2020,AAPL,384
66,16-04-2020,AAPL,385
67,17-04-2020,AAPL,386
68,18-04-2020,AAPL,387
69,19-04-2020,AAPL,388
70,20-04-2020,AAPL,389
71,21-04-2020,AAPL,390
72,22-04-2020,AAPL,391
73,23-04-2020,AAPL,392
74,24-04-2020,AAPL,393
75,25-04-2020,AAPL,394
76,26-04-2020,AAPL,395
77,27-04-2020,AAPL,396
78,28-04-2020,AAPL,397
79,29-04-2020,AAPL,398
80,30-04-2020,AAPL,399
81,01-05-2020,AAPL,400
82,02-05-2020,AAPL,401
83,03-05-2020,AAPL,402
84,04-05-2020,AAPL,403
85,05-05-2020,AAPL,404
86,06-05-2020,AAPL,405
87,07-05-2020,AAPL,406
88,08-05-2020,AAPL,407
89,09-05-2020,AAPL,408
90,10-05-2020,AAPL,409
91,11-05-2020,AAPL,410
92,12-05-2020,AAPL,411
93,13-05-2020,AAPL,412
94,14-05-2020,AAPL,413
95,15-05-2020,AAPL,414
96,16-05-2020,AAPL,415
97,17-05-2020,AAPL,416
98,18-05-2020,AAPL,417
99,19-05-2020,AAPL,418
100,20-05-2020,AAPL,419
101,21-05-2020,AAPL,420
102,22-05-2020,AAPL,421
103,23-05-2020,AAPL,422
104,24-05-2020,AAPL,423
105,25-05-2020,AAPL,424
106,26-05-2020,AAPL,425
107,27-05-2020,AAPL,426
108,28-05-2020,AAPL,427
109,29-05-2020,AAPL,428
110,30-05-2020,AAPL,429
111,31-05-2020,AAPL,430
112,01-06-2020,AAPL,431
113,02-06-2020,AAPL,432
114,03-06-2020,AAPL,433
115,04-06-2020,AAPL,434
116,05-06-2020,AAPL,435
117,06-06-2020,AAPL,436
118,07-06-2020,AAPL,437
119,08-06-2020,AAPL,438
120,09-06-2020,AAPL,439
121,10-06-2020,AAPL,440
122,11-06-2020,AAPL,441
123,12-06-2020,AAPL,442
124,13-06-2020,AAPL,443
125,14-06-2020,AAPL,444
126,15-06-2020,AAPL,445
127,16-06-2020,AAPL,446
128,17-06-2020,AAPL,447
129,18-06-2020,AAPL,448
130,19-06-2020,AAPL,449
131,20-06-2020,AAPL,450
132,21-06-2020,AAPL,451
133,22-06-2020,AAPL,452
134,23-06-2020,AAPL,453
135,24-06-2020,AAPL,454
136,25-06-2020,AAPL,455
137,26-06-2020,AAPL,456
138,27-06-2020,AAPL,457
139,28-06-2020,AAPL,458
140,29-06-2020,AAPL,459
141,30-06-2020,AAPL,460
142,01-07-2020,AAPL,461
143,02-07-2020,AAPL,462
144,03-07-2020,AAPL,463
145,04-07-2020,AAPL,464
146,05-07-2020,AAPL,465
147,06-07-2020,AAPL,466
148,07-07-2020,AAPL,467
149,08-07-2020,AAPL,468
150,09-07-2020,AAPL,469
151,10-07-2020,AAPL,470
152,11-07-2020,AAPL,471
153,12-07-2020,AAPL,472
154,13-07-2020,AAPL,473
155,14-07-2020,AAPL,474
156,15-07-2020,AAPL,475
157,16-07-2020,AAPL,476
158,17-07-2020,AAPL,477
159,18-07-2020,AAPL,478
160,19-07-2020,AAPL,479
161,20-07-2020,AAPL,480
162,21-07-2020,AAPL,481
163,22-07-2020,AAPL,482
164,23-07-2020,AAPL,483
165,24-07-2020,AAPL,484
166,25-07-2020,AAPL,485
167,26-07-2020,AAPL,486
168,27-07-2020,AAPL,487
169,28-07-2020,AAPL,488
170,29-07-2020,AAPL,489
171,30-07-2020,AAPL,490
172,31-07-2020,AAPL,491
